record_id,record_type,entity_id,metric_id,category_id,value,unit,currency,scale,as_of_date,period_start,period_end,period_type,frequency,classification,source_type,source_name,page_table,provider,retrieved_date,book_of_record,return_method,gross_net,valuation_status,benchmark_id,method_id,quality_status,note,schema_version,entered_by,reviewed_by,review_status
CIO-0001,cio_monthly,DEMOFUND,return,TOTAL,0.001,%,USD,1,2026-06-30,2026-06-01,2026-06-30,1M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,IBOR,TWR,net,final,,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0002,cio_monthly,DEMOFUND,benchmark_return,TOTAL,-0.014,%,USD,1,2026-06-30,2026-06-01,2026-06-30,1M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,n/a,TWR,net,final,BM-TOTAL,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0003,cio_monthly,DEMOFUND,hurdle_return,TOTAL,0.006,%,USD,1,2026-06-30,2026-06-01,2026-06-30,1M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,n/a,n/a,n/a,final,,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0004,cio_monthly,DEMOFUND,return,GROWTH,-0.001,%,USD,1,2026-06-30,2026-06-01,2026-06-30,1M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,IBOR,TWR,net,final,,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0005,cio_monthly,DEMOFUND,benchmark_return,GROWTH,-0.029,%,USD,1,2026-06-30,2026-06-01,2026-06-30,1M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,n/a,TWR,net,final,BM-GROWTH,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0006,cio_monthly,DEMOFUND,return,CREDIT,0.009,%,USD,1,2026-06-30,2026-06-01,2026-06-30,1M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,IBOR,TWR,net,final,,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0007,cio_monthly,DEMOFUND,benchmark_return,CREDIT,0.006,%,USD,1,2026-06-30,2026-06-01,2026-06-30,1M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,n/a,TWR,net,final,BM-CREDIT,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0008,cio_monthly,DEMOFUND,return,RAIH,-0.011,%,USD,1,2026-06-30,2026-06-01,2026-06-30,1M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,IBOR,TWR,net,final,,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0009,cio_monthly,DEMOFUND,benchmark_return,RAIH,-0.01,%,USD,1,2026-06-30,2026-06-01,2026-06-30,1M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,n/a,TWR,net,final,BM-RAIH,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0010,cio_monthly,DEMOFUND,return,RRM,0.005,%,USD,1,2026-06-30,2026-06-01,2026-06-30,1M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,IBOR,TWR,net,final,,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0011,cio_monthly,DEMOFUND,benchmark_return,RRM,0.004,%,USD,1,2026-06-30,2026-06-01,2026-06-30,1M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,n/a,TWR,net,final,BM-RRM,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0012,cio_monthly,DEMOFUND,return,TOTAL,0.053,%,USD,1,2026-06-30,2026-04-01,2026-06-30,3M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,IBOR,TWR,net,final,,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0013,cio_monthly,DEMOFUND,benchmark_return,TOTAL,0.053,%,USD,1,2026-06-30,2026-04-01,2026-06-30,3M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,n/a,TWR,net,final,BM-TOTAL,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0014,cio_monthly,DEMOFUND,hurdle_return,TOTAL,0.017,%,USD,1,2026-06-30,2026-04-01,2026-06-30,3M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,n/a,n/a,n/a,final,,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0015,cio_monthly,DEMOFUND,return,GROWTH,0.095,%,USD,1,2026-06-30,2026-04-01,2026-06-30,3M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,IBOR,TWR,net,final,,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
CIO-0016,cio_monthly,DEMOFUND,benchmark_return,GROWTH,0.081,%,USD,1,2026-06-30,2026-04-01,2026-06-30,3M,Monthly,reported_public,public_report,CIO-Monthly-Report-Aug-2026.pdf,pp. 8–9,LACERA,2026-09-07,n/a,TWR,net,final,BM-GROWTH,,ok,public figures re-expressed in the contract for the feed demonstration,1.4.0,PA-ANALYST-1,PA-LEAD-1,published
