record_id,record_type,entity_id,metric_id,category_id,value,unit,currency,scale,as_of_date,period_start,period_end,period_type,frequency,classification,source_type,source_name,page_table,provider,retrieved_date,book_of_record,return_method,gross_net,valuation_status,benchmark_id,method_id,quality_status,note,schema_version,entered_by,reviewed_by,review_status
ACF-0001,acfr_section_status,DEMO-ACFR,section_status,INTRO,in_progress,1,USD,1,2026-07-06,,2026-09-29,,Ad Hoc,synthetic,synthetic_generator,ACFR tracker,v1,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
ACF-0002,acfr_section_status,DEMO-ACFR,section_status,INTRO,in_review,1,USD,1,2026-07-27,,2026-09-29,,Ad Hoc,synthetic,synthetic_generator,ACFR tracker,v1,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,,1.3.0,PA-LEAD-1,PA-LEAD-1,published
ACF-0003,acfr_section_status,DEMO-ACFR,section_status,INTRO,complete,1,USD,1,2026-08-05,,2026-09-29,,Ad Hoc,synthetic,synthetic_generator,ACFR tracker,v1,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,,1.3.0,PA-LEAD-1,PA-LEAD-1,published
ACF-0004,acfr_section_status,DEMO-ACFR,section_status,FIN,not_started,1,USD,1,2026-07-13,,2026-10-27,,Ad Hoc,synthetic,synthetic_generator,ACFR tracker,,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
ACF-0005,acfr_section_status,DEMO-ACFR,section_status,FIN,in_progress,1,USD,1,2026-08-03,,2026-10-27,,Ad Hoc,synthetic,synthetic_generator,ACFR tracker,v1,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
ACF-0006,acfr_section_status,DEMO-ACFR,section_status,INV,in_progress,1,USD,1,2026-07-06,,2026-10-13,,Ad Hoc,synthetic,synthetic_generator,ACFR tracker,v1,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,,1.3.0,PA-ANALYST-2,PA-LEAD-1,published
ACF-0007,acfr_section_status,DEMO-ACFR,section_status,INV,in_review,1,USD,1,2026-07-20,,2026-10-13,,Ad Hoc,synthetic,synthetic_generator,ACFR tracker,v1,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,,1.3.0,PA-LEAD-1,PA-LEAD-1,published
ACF-0008,acfr_section_status,DEMO-ACFR,section_status,INV,in_review,1,USD,1,2026-08-10,,2026-10-13,,Ad Hoc,synthetic,synthetic_generator,ACFR tracker,v2,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,,1.3.0,PA-LEAD-1,PA-LEAD-1,published
ACF-0009,acfr_section_status,DEMO-ACFR,section_status,ACT,not_started,1,USD,1,2026-07-13,,2026-11-03,,Ad Hoc,synthetic,synthetic_generator,ACFR tracker,,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
ACF-0010,acfr_section_status,DEMO-ACFR,section_status,STAT,in_progress,1,USD,1,2026-07-06,,2026-10-20,,Ad Hoc,synthetic,synthetic_generator,ACFR tracker,v1,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,,1.3.0,PA-ANALYST-2,PA-LEAD-1,published
ACF-0011,acfr_section_status,DEMO-ACFR,section_status,STAT,ready_signoff,1,USD,1,2026-08-07,,2026-10-20,,Ad Hoc,synthetic,synthetic_generator,ACFR tracker,v3,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,,1.3.0,PA-LEAD-1,PA-LEAD-1,published
ACF-0012,acfr_artifact_link,DEMO-ACFR,artifact:letter-of-transmittal-draft,INTRO,1,1,USD,1,2026-08-10,,,,Ad Hoc,synthetic,synthetic_generator,Letter of transmittal draft,v1,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,link: sharepoint://demo-placeholder/intro/letter-of-transmittal-draft (synthetic),1.3.0,PA-ANALYST-1,PA-LEAD-1,published
ACF-0013,acfr_artifact_link,DEMO-ACFR,artifact:gfoa-certificate-page,INTRO,1,1,USD,1,2026-08-10,,,,Ad Hoc,synthetic,synthetic_generator,GFOA certificate page,v1,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,link: sharepoint://demo-placeholder/intro/gfoa-certificate-page (synthetic),1.3.0,PA-ANALYST-1,PA-LEAD-1,published
ACF-0014,acfr_artifact_link,DEMO-ACFR,artifact:statement-of-fiduciary-net-position,FIN,1,1,USD,1,2026-08-10,,,,Ad Hoc,synthetic,synthetic_generator,Statement of fiduciary net position,v1,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,link: sharepoint://demo-placeholder/fin/statement-of-fiduciary-net-position (synthetic),1.3.0,PA-ANALYST-1,PA-LEAD-1,published
ACF-0015,acfr_artifact_link,DEMO-ACFR,artifact:statement-of-changes-in-fiduciary-net-position,FIN,,1,USD,1,2026-08-10,,,,Ad Hoc,synthetic,synthetic_generator,Statement of changes in fiduciary net position,,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,missing,link: sharepoint://demo-placeholder/fin/statement-of-changes-in-fiduciary-net-position (synthetic),1.3.0,PA-ANALYST-2,PA-LEAD-1,published
ACF-0016,acfr_artifact_link,DEMO-ACFR,artifact:notes-to-financial-statements,FIN,,1,USD,1,2026-08-10,,,,Ad Hoc,synthetic,synthetic_generator,Notes to financial statements,,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,missing,link: sharepoint://demo-placeholder/fin/notes-to-financial-statements (synthetic),1.3.0,PA-ANALYST-2,PA-LEAD-1,published
ACF-0017,acfr_artifact_link,DEMO-ACFR,artifact:investment-results-by-asset-class,INV,1,1,USD,1,2026-08-10,,,,Ad Hoc,synthetic,synthetic_generator,Investment results by asset class,v2,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,link: sharepoint://demo-placeholder/inv/investment-results-by-asset-class (synthetic),1.3.0,PA-ANALYST-1,PA-LEAD-1,published
ACF-0018,acfr_artifact_link,DEMO-ACFR,artifact:largest-holdings-schedules,INV,1,1,USD,1,2026-08-10,,,,Ad Hoc,synthetic,synthetic_generator,Largest holdings schedules,v1,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,link: sharepoint://demo-placeholder/inv/largest-holdings-schedules (synthetic),1.3.0,PA-ANALYST-1,PA-LEAD-1,published
ACF-0019,acfr_artifact_link,DEMO-ACFR,artifact:fee-and-commission-schedules,INV,,1,USD,1,2026-08-10,,,,Ad Hoc,synthetic,synthetic_generator,Fee and commission schedules,,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,missing,link: sharepoint://demo-placeholder/inv/fee-and-commission-schedules (synthetic),1.3.0,PA-ANALYST-2,PA-LEAD-1,published
ACF-0020,acfr_artifact_link,DEMO-ACFR,artifact:investment-summary-tie-out,INV,1,1,USD,1,2026-08-10,,,,Ad Hoc,synthetic,synthetic_generator,Investment summary tie-out,v2,synthetic generator,2026-08-13,n/a,n/a,n/a,final,,,ok,link: sharepoint://demo-placeholder/inv/investment-summary-tie-out (synthetic),1.3.0,PA-ANALYST-1,PA-LEAD-1,published
