record_id,record_type,entity_id,metric_id,category_id,value,unit,currency,scale,as_of_date,period_start,period_end,period_type,frequency,classification,source_type,source_name,page_table,provider,retrieved_date,book_of_record,return_method,gross_net,valuation_status,benchmark_id,method_id,quality_status,note,schema_version,entered_by,reviewed_by,review_status
REC-0001,monthly_return,DEMO-OPEB,net_return_m,GROWTH,0.0013,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,synthetic,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0002,monthly_return,DEMO-OPEB,net_return_m,CREDIT,-0.0027,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,synthetic,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0003,monthly_return,DEMO-OPEB,net_return_m,RAIH,0.0065,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,synthetic,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0004,monthly_return,DEMO-OPEB,net_return_m,RRM,-0.013,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,synthetic,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0005,monthly_return,DEMO-OPEB,net_return_m,OVERLAY,-0.0041,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,synthetic,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0006,monthly_return,DEMO-OPEB,net_return_m,OTHER,0,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,synthetic,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0007,monthly_return,DEMO-OPEB,net_return_m,TOTAL,-0.0023115,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,calculated,workbook,Calc_Returns,TF monthly SUMPRODUCT,workbook formulas,2026-08-04,IBOR,TWR,net,final,,bop_weighted_sum,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0008,monthly_benchmark_return,DEMO-OPEB,bench_return_m,GROWTH,0.003,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,synthetic,workbook,Inputs_Portfolio,benchmark grid,synthetic generator,2026-08-04,n/a,TWR,net,final,BM-GROWTH,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0009,monthly_benchmark_return,DEMO-OPEB,bench_return_m,CREDIT,-0.0029,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,synthetic,workbook,Inputs_Portfolio,benchmark grid,synthetic generator,2026-08-04,n/a,TWR,net,final,BM-CREDIT,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0010,monthly_benchmark_return,DEMO-OPEB,bench_return_m,RAIH,-0.0009,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,synthetic,workbook,Inputs_Portfolio,benchmark grid,synthetic generator,2026-08-04,n/a,TWR,net,final,BM-RAIH,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
