record_id,record_type,entity_id,metric_id,category_id,value,unit,currency,scale,as_of_date,period_start,period_end,period_type,frequency,source_type,source_name,page_table,provider,retrieved_date,book_of_record,return_method,gross_net,valuation_status,benchmark_id,method_id,quality_status,note,schema_version,entered_by,reviewed_by,review_status
REC-0001,monthly_return,DEMOFUND,net_return_m,GROWTH,-0.0347,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0002,monthly_return,DEMOFUND,net_return_m,CREDIT,0.0179,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0003,monthly_return,DEMOFUND,net_return_m,RAIH,0.0027,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0004,monthly_return,DEMOFUND,net_return_m,RRM,0.0087,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0005,monthly_return,DEMOFUND,net_return_m,OVERLAY,0.004,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0006,monthly_return,DEMOFUND,net_return_m,OTHER,0,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0007,monthly_return,DEMOFUND,net_return_m,TOTAL,-0.0113375,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,workbook,Calc_Returns,TF monthly SUMPRODUCT,workbook formulas,2026-08-04,IBOR,TWR,net,final,,bop_weighted_sum,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0008,monthly_benchmark_return,DEMOFUND,bench_return_m,GROWTH,-0.0445,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,workbook,Inputs_Portfolio,benchmark grid,synthetic generator,2026-08-04,n/a,TWR,net,final,BM-GROWTH,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0009,monthly_benchmark_return,DEMOFUND,bench_return_m,CREDIT,0.0172,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,workbook,Inputs_Portfolio,benchmark grid,synthetic generator,2026-08-04,n/a,TWR,net,final,BM-CREDIT,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0010,monthly_benchmark_return,DEMOFUND,bench_return_m,RAIH,-0.0038,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,workbook,Inputs_Portfolio,benchmark grid,synthetic generator,2026-08-04,n/a,TWR,net,final,BM-RAIH,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0011,monthly_benchmark_return,DEMOFUND,bench_return_m,RRM,0.0091,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,workbook,Inputs_Portfolio,benchmark grid,synthetic generator,2026-08-04,n/a,TWR,net,final,BM-RRM,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0012,monthly_benchmark_return,DEMOFUND,bench_return_m,TOTAL,-0.016893,%,USD,1,2025-07-31,2025-07-01,2025-07-31,M,Monthly,workbook,Calc_Returns,policy-weighted benchmark,workbook formulas,2026-08-04,n/a,TWR,net,final,BM-TOTAL,policy_weighted_sum,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0013,monthly_return,DEMOFUND,net_return_m,GROWTH,0.0572,%,USD,1,2025-08-31,2025-08-01,2025-08-31,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0014,monthly_return,DEMOFUND,net_return_m,CREDIT,0.0105,%,USD,1,2025-08-31,2025-08-01,2025-08-31,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0015,monthly_return,DEMOFUND,net_return_m,RAIH,0.0289,%,USD,1,2025-08-31,2025-08-01,2025-08-31,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0016,monthly_return,DEMOFUND,net_return_m,RRM,0.0006,%,USD,1,2025-08-31,2025-08-01,2025-08-31,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0017,monthly_return,DEMOFUND,net_return_m,OVERLAY,0.01,%,USD,1,2025-08-31,2025-08-01,2025-08-31,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0018,monthly_return,DEMOFUND,net_return_m,OTHER,0,%,USD,1,2025-08-31,2025-08-01,2025-08-31,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0019,monthly_return,DEMOFUND,net_return_m,TOTAL,0.03234322066,%,USD,1,2025-08-31,2025-08-01,2025-08-31,M,Monthly,workbook,Calc_Returns,TF monthly SUMPRODUCT,workbook formulas,2026-08-04,IBOR,TWR,net,final,,bop_weighted_sum,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0020,monthly_benchmark_return,DEMOFUND,bench_return_m,GROWTH,0.0574,%,USD,1,2025-08-31,2025-08-01,2025-08-31,M,Monthly,workbook,Inputs_Portfolio,benchmark grid,synthetic generator,2026-08-04,n/a,TWR,net,final,BM-GROWTH,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0021,monthly_benchmark_return,DEMOFUND,bench_return_m,CREDIT,0.0104,%,USD,1,2025-08-31,2025-08-01,2025-08-31,M,Monthly,workbook,Inputs_Portfolio,benchmark grid,synthetic generator,2026-08-04,n/a,TWR,net,final,BM-CREDIT,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0022,monthly_benchmark_return,DEMOFUND,bench_return_m,RAIH,0.0304,%,USD,1,2025-08-31,2025-08-01,2025-08-31,M,Monthly,workbook,Inputs_Portfolio,benchmark grid,synthetic generator,2026-08-04,n/a,TWR,net,final,BM-RAIH,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0023,monthly_benchmark_return,DEMOFUND,bench_return_m,RRM,0.0034,%,USD,1,2025-08-31,2025-08-01,2025-08-31,M,Monthly,workbook,Inputs_Portfolio,benchmark grid,synthetic generator,2026-08-04,n/a,TWR,net,final,BM-RRM,,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0024,monthly_benchmark_return,DEMOFUND,bench_return_m,TOTAL,0.03381,%,USD,1,2025-08-31,2025-08-01,2025-08-31,M,Monthly,workbook,Calc_Returns,policy-weighted benchmark,workbook formulas,2026-08-04,n/a,TWR,net,final,BM-TOTAL,policy_weighted_sum,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0025,monthly_return,DEMOFUND,net_return_m,GROWTH,-0.0129,%,USD,1,2025-09-30,2025-09-01,2025-09-30,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0026,monthly_return,DEMOFUND,net_return_m,CREDIT,0.0106,%,USD,1,2025-09-30,2025-09-01,2025-09-30,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0027,monthly_return,DEMOFUND,net_return_m,RAIH,-0.002,%,USD,1,2025-09-30,2025-09-01,2025-09-30,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0028,monthly_return,DEMOFUND,net_return_m,RRM,-0.0068,%,USD,1,2025-09-30,2025-09-01,2025-09-30,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0029,monthly_return,DEMOFUND,net_return_m,OVERLAY,0.0037,%,USD,1,2025-09-30,2025-09-01,2025-09-30,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0030,monthly_return,DEMOFUND,net_return_m,OTHER,0,%,USD,1,2025-09-30,2025-09-01,2025-09-30,M,Monthly,workbook,Inputs_Portfolio,monthly returns grid,synthetic generator,2026-08-04,IBOR,TWR,net,final,,monthly_net_return,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
REC-0031,monthly_return,DEMOFUND,net_return_m,TOTAL,-0.006435501746,%,USD,1,2025-09-30,2025-09-01,2025-09-30,M,Monthly,workbook,Calc_Returns,TF monthly SUMPRODUCT,workbook formulas,2026-08-04,IBOR,TWR,net,final,,bop_weighted_sum,ok,,1.3.0,PA-ANALYST-1,PA-LEAD-1,published
